ticker,avg_weight_before,avg_weight_after,avg_weight_change,annualized_ticker_return,approx_active_contribution
AMD,0.1092766287210732,0.1335804408262997,0.02430381210522649,1.6619393842834524,0.040391462525900826
TSLA,0.1092766287210732,0.008508434464988036,-0.10076819425608516,-0.3568492745912054,0.03595905702214966
AMAT,0.1092766287210732,0.1224581512968701,0.013181522575796897,1.3406181383132618,0.01767138825569907
TXN,0.09940008551119664,0.10857301435207252,0.00917292884087588,1.57119044763722,0.01441241817164014
GOOGL,0.1092766287210732,0.13036441454232148,0.021087785821248275,0.6728789869706029,0.014189527960854582
AMZN,0.09940008551119664,0.12451232456022832,0.025112239049031676,0.5400987878247788,0.013563089869948084
CSCO,0.1092766287210732,0.11709526409125308,0.007818635370179877,0.6522527745658042,0.005099726613518159
ISRG,0.04377104377104377,0.03719622289827626,-0.006574820872767513,-0.5982398775653559,0.003933320033938583
NFLX,0.04377104377104377,0.04661119753520992,0.002840153764166145,0.16929746405149185,0.0004808308297896272
META,0.07669285447063227,0.09304107656134879,0.016348222090716513,-0.09564598900944817,-0.0015636418704126894
COST,0.09058174335952114,0.07805945887113178,-0.012522284488389365,0.5581212779107172,-0.006988953421021424
